Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,VendorAccountHistory,,,,,,,,,,,,,,,,,,IX_VendorAccountHistory_CustomerId,CustomerId ASC,NONCLUSTERED,No,Index on CustomerId for performance optimization,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,VendorAccountHistory,,,CustomerId,,,,,,,,,,,,,,,IX_VendorAccountHistory_CustomerId,CustomerId ASC,NONCLUSTERED,No,Index on CustomerId for performance optimization,Column referenced in index IX_VendorAccountHistory_CustomerId
dbo,VendorAccountHistory,,,,,,,,,,,,,,,,,,IX_VendorAccountHistory_VendorAccountId,VendorAccountId ASC,NONCLUSTERED,No,Index on VendorAccountId for performance optimization,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,VendorAccountHistory,,,VendorAccountId,,,,,,,,,,,,,,,IX_VendorAccountHistory_VendorAccountId,VendorAccountId ASC,NONCLUSTERED,No,Index on VendorAccountId for performance optimization,Column referenced in index IX_VendorAccountHistory_VendorAccountId
dbo,VendorGLDistributionHistory,,,,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_ChangedDate,ChangedDate ASC,NONCLUSTERED,No,Index on ChangedDate for performance optimization,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,VendorGLDistributionHistory,,,ChangedDate,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_ChangedDate,ChangedDate ASC,NONCLUSTERED,No,Index on ChangedDate for performance optimization,Column referenced in index IX_VendorGLDistributionHistory_ChangedDate
dbo,VendorGLDistributionHistory,,,,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_ChangeType,ChangeType ASC,NONCLUSTERED,No,Index on ChangeType for performance optimization,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,VendorGLDistributionHistory,,,ChangeType,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_ChangeType,ChangeType ASC,NONCLUSTERED,No,Index on ChangeType for performance optimization,Column referenced in index IX_VendorGLDistributionHistory_ChangeType
dbo,VendorGLDistributionHistory,,,,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_CustomerId,CustomerId ASC,NONCLUSTERED,No,Index on CustomerId for performance optimization,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,VendorGLDistributionHistory,,,CustomerId,,,,,,,,,,,,,,,IX_VendorGLDistributionHistory_CustomerId,CustomerId ASC,NONCLUSTERED,No,Index on CustomerId for performance optimization,Column referenced in index IX_VendorGLDistributionHistory_CustomerId
