Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,Timesheets,,,,,,,,,,,,,,,,,,,,,,,,
dbo,Timesheets,,,TimesheetID,uniqueidentifier,No,,,PK,,TimesheetID,PRIMARY KEY CLUSTERED ([TimesheetID] ASC),,,,,,,TimesheetID,TimesheetID ASC,CLUSTERED,Yes,NOT NULL; PRIMARY KEY,
dbo,Timesheets,,,UserID,uniqueidentifier,No,,,NOT NULL,,UserID,,,,,,,,,,,,NOT NULL,
dbo,Timesheets,,,Name,nvarchar(500),No,,,NOT NULL,,Name,,,,,,,,,,,,NOT NULL,
dbo,Timesheets,,,StatusID,uniqueidentifier,No,,,NOT NULL,,StatusID,,,,,,,,,,,,NOT NULL,
dbo,Timesheets,,,ApproverID,uniqueidentifier,Yes,,,None,,ApproverID,,,,,,,,,,,,NULL allowed,
dbo,Timesheets,,,LastUpdate,datetime2(7),No,,,NOT NULL,,LastUpdate,,,,,,,,,,,,NOT NULL,
dbo,Timesheets,,,StartDate,date,No,,,NOT NULL,,StartDate,,,,,,,,,,,,NOT NULL,
dbo,Timesheets,,,EndDate,date,No,,,NOT NULL,,EndDate,,,,,,,,,,,,NOT NULL,
dbo,TimesheetStatus,,,,,,,,,,,,,,,,,,,,,,,,
dbo,TimesheetStatus,,,TimesheetStatusID,uniqueidentifier,No,,,PK,,TimesheetStatusID,PRIMARY KEY CLUSTERED ([TimesheetStatusID] ASC),,,,,,,TimesheetStatusID,TimesheetStatusID ASC,CLUSTERED,Yes,NOT NULL; PRIMARY KEY,
dbo,TimesheetStatus,,,Description,nvarchar(500),No,,,NOT NULL,,Description,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,,,,,,,,,,,,,,,,,,,,,,
dbo,TransactionBatch,,,BatchId,uniqueidentifier,No,,,PK,,BatchId,PRIMARY KEY CLUSTERED ([BatchId] ASC),,,,,,,BatchId,BatchId ASC,CLUSTERED,Yes,NOT NULL; PRIMARY KEY,
dbo,TransactionBatch,,,BatchNumber,nvarchar(50),No,,,UK,,BatchNumber,UNIQUE NONCLUSTERED ([BatchNumber] ASC),,,,,,,BatchNumber,BatchNumber ASC,NONCLUSTERED,Yes,NOT NULL; UNIQUE,
dbo,TransactionBatch,,,EntityId,uniqueidentifier,No,,,NOT NULL,,EntityId,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BankAccountId,uniqueidentifier,No,,,NOT NULL,,BankAccountId,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BatchDirectionId,int,No,,,NOT NULL,,BatchDirectionId,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BatchMethodTypeId,int,No,,,NOT NULL,,BatchMethodTypeId,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BatchDate,date,No,,,NOT NULL,,BatchDate,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,TotalAmount,decimal(15,2),No,,,NOT NULL,,TotalAmount,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,TransactionCount,int,No,,,NOT NULL,,TransactionCount,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BatchStatusId,int,No,,,NOT NULL,,BatchStatusId,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,BankFileId,nvarchar(100),Yes,,,None,,BankFileId,,,,,,,,,,,,NULL allowed,
dbo,TransactionBatch,,,BankFileSubmittedDate,datetime2(7),Yes,,,None,,BankFileSubmittedDate,,,,,,,,,,,,NULL allowed,
dbo,TransactionBatch,,,BankFileConfirmedDate,datetime2(7),Yes,,,None,,BankFileConfirmedDate,,,,,,,,,,,,NULL allowed,
dbo,TransactionBatch,,,CreatedBy,uniqueidentifier,No,,,NOT NULL,,CreatedBy,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,CreatedDate,datetime2(7),No,,,NOT NULL,,CreatedDate,,,,,,,,,,,,NOT NULL,
dbo,TransactionBatch,,,SubmittedBy,uniqueidentifier,Yes,,,None,,SubmittedBy,,,,,,,,,,,,NULL allowed,
dbo,TransactionBatch,,,SubmittedDate,datetime2(7),Yes,,,None,,SubmittedDate,,,,,,,,,,,,NULL allowed,
dbo,TransactionBatch,,,ProcessedDate,datetime2(7),Yes,,,None,,ProcessedDate,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,,,,,,,,,,,,,,,,,,,,,,
dbo,TransitionCondition,,,ConditionId,uniqueidentifier,No,,,PK,PK_TransitionCondition,ConditionId,CONSTRAINT [PK_TransitionCondition] PRIMARY KEY CLUSTERED ([ConditionId] ASC),,,,,,,ConditionId,ConditionId ASC,CLUSTERED,Yes,NOT NULL; PRIMARY KEY,
dbo,TransitionCondition,,,TransitionId,uniqueidentifier,No,,,NOT NULL,,TransitionId,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,ConditionType,nvarchar(50),No,,,NOT NULL,,ConditionType,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,ParameterName,nvarchar(100),Yes,,,None,,ParameterName,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,Operator,nvarchar(50),Yes,,,None,,Operator,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,Value,nvarchar(255),Yes,,,None,,Value,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,LogicalOperator,nvarchar(10),Yes,,,None,,LogicalOperator,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,ConditionGroup,int,No,,,NOT NULL,,ConditionGroup,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,ConditionOrder,int,No,,,NOT NULL,,ConditionOrder,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,ErrorMessage,nvarchar(255),Yes,,,None,,ErrorMessage,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,IsActive,bit,No,,,NOT NULL,,IsActive,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,CreatedBy,uniqueidentifier,No,,,NOT NULL,,CreatedBy,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,CreatedDate,datetime2(7),No,,,NOT NULL,,CreatedDate,,,,,,,,,,,,NOT NULL,
dbo,TransitionCondition,,,ModifiedBy,uniqueidentifier,Yes,,,None,,ModifiedBy,,,,,,,,,,,,NULL allowed,
dbo,TransitionCondition,,,ModifiedDate,datetime2(7),Yes,,,None,,ModifiedDate,,,,,,,,,,,,NULL allowed,
dbo,Unavailability,,,,,,,,,,,,,,,,,,,,,,,,
dbo,Unavailability,,,UnavailabilityId,uniqueidentifier,No,,,PK,,UnavailabilityId,PRIMARY KEY CLUSTERED ([UnavailabilityId] ASC),,,,,,,UnavailabilityId,UnavailabilityId ASC,CLUSTERED,Yes,NOT NULL; PRIMARY KEY,
dbo,Unavailability,,,UserId,uniqueidentifier,No,,,NOT NULL,,UserId,,,,,,,,,,,,NOT NULL,
dbo,Unavailability,,,StartDate,date,No,,,NOT NULL,,StartDate,,,,,,,,,,,,NOT NULL,
dbo,Unavailability,,,EndDate,date,No,,,NOT NULL,,EndDate,,,,,,,,,,,,NOT NULL,
dbo,UnprocessedBankingFile,,,,,,,,,,,,,,,,,,,,,,,,
