Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,OutboundWire,,,,,,,,,,,,,,,,,,IX_OutboundWire_ConfirmationNumber,ConfirmationNumber ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,OutboundWire,,,,,,,,,,,,,,,,,,IX_OutboundWire_SWIFT,BeneficiaryBankSWIFT ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,OutboundWire,,,,,,,,,,,,,,,,,,IX_OutboundWire_WireType,WireTypeId ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,PaymentHeader,,,,,,,,,,,,,,,,,,IX_PaymentHeader_Bill,BillId ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,PaymentHeader,,,,,,,,,,,,,,,,,,IX_PaymentHeader_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,PaymentHeader,,,,,,,,,,,,,,,,,,IX_PaymentHeader_PaymentDate,PaymentDate ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,PaymentHeader,,,,,,,,,,,,,,,,,,IX_PaymentHeader_Status,PaymentStatus ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,ProcessingStageHistory,,,,,,,,,,,,,,,,,,IX_ProcessingStageHistory_QueueId,QueueId ASC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,ProcessingStageHistory,,,,,,,,,,,,,,,,,,IX_ProcessingStageHistory_StageDate,StageDate DESC,NONCLUSTERED,No,Index enforces data retrieval optimization,PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,Role,,,,,,,,,,,,,,,,,,IX_Role_OneSuperAdmin,IsSuperAdmin ASC,NONCLUSTERED,Yes,"Unique constraint enforces data integrity, Filtered index with WHERE clause","WHERE ([IsSuperAdmin]=(1) AND [IsActive]=(1)); PAD_INDEX = OFF; STATISTICS_NORECOMPUTE = OFF; SORT_IN_TEMPDB = OFF; IGNORE_DUP_KEY = OFF; DROP_EXISTING = OFF; ONLINE = OFF; ALLOW_ROW_LOCKS = ON; ALLOW_PAGE_LOCKS = ON; OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
