Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,Note,Note table for storing notes and comments,,NoteId,uniqueidentifier,No,,Primary key column,PK,,NoteId,PRIMARY KEY CLUSTERED ([NoteId] ASC),,,,,,,PK_Note_NoteId,NoteId,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,Note,Note table for storing notes and comments,,CustomerId,uniqueidentifier,No,,,NOT NULL,,CustomerId,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field
dbo,Note,Note table for storing notes and comments,,EntityId,uniqueidentifier,Yes,,,None,,EntityId,,,,,,,,,,BTREE,No,Nullable field,Optional field
dbo,Note,Note table for storing notes and comments,,RefEntityObjectTypeId,int,Yes,,,None,,RefEntityObjectTypeId,,,,,,,,,,BTREE,No,Nullable field,Optional field
dbo,Note,Note table for storing notes and comments,,RefEntityObjectId,nvarchar(255),Yes,,,None,,RefEntityObjectId,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 255
dbo,Note,Note table for storing notes and comments,,ParentNoteId,uniqueidentifier,Yes,,,None,,ParentNoteId,,,,,,,,,,BTREE,No,Nullable field,Optional field for hierarchical notes
dbo,Note,Note table for storing notes and comments,,RootNoteId,uniqueidentifier,Yes,,,None,,RootNoteId,,,,,,,,,,BTREE,No,Nullable field,Optional field for hierarchical notes
dbo,Note,Note table for storing notes and comments,,AuthorId,uniqueidentifier,Yes,,,None,,AuthorId,,,,,,,,,,BTREE,No,Nullable field,Optional field
dbo,Note,Note table for storing notes and comments,,Content,nvarchar(max),Yes,,,None,,Content,,,,,,,,,,BTREE,No,Nullable field,Optional field with unlimited length
dbo,Note,Note table for storing notes and comments,,Mentions,nvarchar(max),Yes,,,None,,Mentions,,,,,,,,,,BTREE,No,Nullable field,Optional field with unlimited length
dbo,Note,Note table for storing notes and comments,,ThreadDepth,int,Yes,,,None,,ThreadDepth,,,,,,,,,,BTREE,No,Nullable field,Optional field
dbo,Note,Note table for storing notes and comments,,Metadata,nvarchar(max),Yes,,,None,,Metadata,,,,,,,,,,BTREE,No,Nullable field,Optional field with unlimited length
dbo,Note,Note table for storing notes and comments,,IsDeleted,bit,Yes,,,None,,IsDeleted,,,,,,,,,,BTREE,No,Nullable field,Optional boolean field
dbo,Note,Note table for storing notes and comments,,IsSystemNote,bit,Yes,,,None,,IsSystemNote,,,,,,,,,,BTREE,No,Nullable field,Optional boolean field
dbo,Note,Note table for storing notes and comments,,TaskId,nvarchar(255),Yes,,,None,,TaskId,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 255
dbo,Note,Note table for storing notes and comments,,CreatedBy,uniqueidentifier,Yes,,,None,,CreatedBy,,,,,,,,,,BTREE,No,Nullable field,Optional audit field
dbo,Note,Note table for storing notes and comments,,CreatedDate,datetime2(7),Yes,,,None,,CreatedDate,,,,,,,,,,BTREE,No,Nullable field,Optional audit field with precision 7
dbo,Note,Note table for storing notes and comments,,ModifiedBy,uniqueidentifier,Yes,,,None,,ModifiedBy,,,,,,,,,,BTREE,No,Nullable field,Optional audit field
dbo,Note,Note table for storing notes and comments,,ModifiedDate,datetime2(7),Yes,,,None,,ModifiedDate,,,,,,,,,,BTREE,No,Nullable field,Optional audit field with precision 7
dbo,OutboundACH,Outbound ACH payment transactions table,,OutboundACHId,uniqueidentifier,No,,Primary key column,PK,,OutboundACHId,PRIMARY KEY CLUSTERED ([OutboundACHId] ASC),,,,,,,PK_OutboundACH_OutboundACHId,OutboundACHId,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,OutboundACH,Outbound ACH payment transactions table,,PaymentId,uniqueidentifier,No,,,NOT NULL,,PaymentId,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field
dbo,OutboundACH,Outbound ACH payment transactions table,,PaymentId,uniqueidentifier,No,,,UK,,PaymentId,UNIQUE NONCLUSTERED ([PaymentId] ASC),,,,,,,UK_OutboundACH_PaymentId,PaymentId,NONCLUSTERED,Yes,UNIQUE constraint enforced,Unique constraint on PaymentId
dbo,OutboundACH,Outbound ACH payment transactions table,,ACHTransactionType,nvarchar(10),No,,,NOT NULL,,ACHTransactionType,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field with max length 10
dbo,OutboundACH,Outbound ACH payment transactions table,,PayeeAccountNumber,nvarchar(50),No,,,NOT NULL,,PayeeAccountNumber,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field with max length 50
dbo,OutboundACH,Outbound ACH payment transactions table,,PayeeRoutingNumber,nvarchar(20),No,,,NOT NULL,,PayeeRoutingNumber,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field with max length 20
dbo,OutboundACH,Outbound ACH payment transactions table,,PayeeBankName,nvarchar(255),Yes,,,None,,PayeeBankName,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 255
dbo,OutboundACH,Outbound ACH payment transactions table,,ACHEffectiveDate,date,No,,,NOT NULL,,ACHEffectiveDate,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required date field
dbo,OutboundACH,Outbound ACH payment transactions table,,SECCode,nvarchar(3),No,,,NOT NULL,,SECCode,NOT NULL,,,,,,,,,BTREE,No,NOT NULL constraint enforced,Required field with max length 3
dbo,OutboundACH,Outbound ACH payment transactions table,,ACHTraceNumber,nvarchar(15),Yes,,,None,,ACHTraceNumber,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 15
dbo,OutboundACH,Outbound ACH payment transactions table,,ACHBatchNumber,nvarchar(7),Yes,,,None,,ACHBatchNumber,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 7
dbo,OutboundACH,Outbound ACH payment transactions table,,ACHCompanyId,nvarchar(10),Yes,,,None,,ACHCompanyId,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 10
dbo,OutboundACH,Outbound ACH payment transactions table,,ReturnReason,nvarchar(255),Yes,,,None,,ReturnReason,,,,,,,,,,BTREE,No,Nullable field,Optional field with max length 255
dbo,OutboundACH,Outbound ACH payment transactions table,,ReturnDate,date,Yes,,,None,,ReturnDate,,,,,,,,,,BTREE,No,Nullable field,Optional date field
