Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,PermissionType,,N/A,PermissionTypeId,uniqueidentifier,No,,Primary key column,PK,,PermissionTypeId,PRIMARY KEY CLUSTERED ([PermissionTypeId] ASC),,,,,,,PK_PermissionType_Clustered,PermissionTypeId,BTREE,Yes,NOT NULL constraint enforced,Identity column with clustered primary key
dbo,PermissionType,,N/A,TypeCode,nvarchar(50),No,,Unique constraint column,UK,,TypeCode,UNIQUE NONCLUSTERED ([TypeCode] ASC),,,,,,,UK_PermissionType_TypeCode,TypeCode,BTREE,Yes,NOT NULL constraint enforced,Unique constraint on TypeCode
dbo,PermissionType,,N/A,TypeValue,nvarchar(50),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PermissionType,,N/A,IsActive,bit,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PermissionType,,N/A,CreatedBy,uniqueidentifier,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PermissionType,,N/A,CreatedDate,datetime2(7),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PermissionType,,N/A,UpdatedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PermissionType,,N/A,UpdatedDate,datetime2(7),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,PersonId,uniqueidentifier,No,,Primary key column (composite),PK,,"PersonId, PersonInfoId",PRIMARY KEY CLUSTERED ([PersonId] ASC [PersonInfoId] ASC),,,,,,,PK_Person_Clustered,"PersonId, PersonInfoId",BTREE,Yes,NOT NULL constraint enforced,Composite primary key
dbo,Person,,N/A,PersonInfoId,uniqueidentifier,No,,Primary key column (composite),PK,,"PersonId, PersonInfoId",PRIMARY KEY CLUSTERED ([PersonId] ASC [PersonInfoId] ASC),,,,,,,PK_Person_Clustered,"PersonId, PersonInfoId",BTREE,Yes,NOT NULL constraint enforced,Composite primary key
dbo,Person,,N/A,RoleDescription,varchar(50),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,Person,,N/A,StartDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,EndDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,IsActive,bit,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,CreatedBy,uniqueidentifier,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,Person,,N/A,CreatedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,ModifiedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,Person,,N/A,ModifiedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,PersonInfoId,uniqueidentifier,No,,Primary key column (composite),PK,,"PersonInfoId, ContactInfoId",PRIMARY KEY CLUSTERED ([PersonInfoId] ASC [ContactInfoId] ASC),,,,,,,PK_PersonContact_Clustered,"PersonInfoId, ContactInfoId",BTREE,Yes,NOT NULL constraint enforced,Composite primary key
dbo,PersonContact,,N/A,ContactInfoId,uniqueidentifier,No,,Primary key column (composite),PK,,"PersonInfoId, ContactInfoId",PRIMARY KEY CLUSTERED ([PersonInfoId] ASC [ContactInfoId] ASC),,,,,,,PK_PersonContact_Clustered,"PersonInfoId, ContactInfoId",BTREE,Yes,NOT NULL constraint enforced,Composite primary key
dbo,PersonContact,,N/A,IsPrimary,bit,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,UseAsPrimaryAddress,bit,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,StartDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,EndDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,IsActive,bit,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,CreatedBy,uniqueidentifier,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PersonContact,,N/A,CreatedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,ModifiedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonContact,,N/A,ModifiedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,PersonInfoId,uniqueidentifier,No,,Primary key column,PK,,PersonInfoId,PRIMARY KEY CLUSTERED ([PersonInfoId] ASC),,,,,,,PK_PersonInformation_Clustered,PersonInfoId,BTREE,Yes,NOT NULL constraint enforced,Single column primary key
dbo,PersonInformation,,N/A,FirstName,varchar(128),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,LastName,nvarchar(50),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,DisplayName,varchar(230),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,IsActive,bit,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,CreatedBy,uniqueidentifier,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,PersonInformation,,N/A,CreatedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,ModifiedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,ModifiedDate,datetime,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,PersonInformation,,N/A,MiddleName,nvarchar(50),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,CUSTOMER,char(3),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,CLIENT,char(4),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,FYE,date,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,DOCID,char(16),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,JOURNAL,char(1),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,TRANSACTION_DATE,date,No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,QUALIFIER,char(3),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,SEQUENCE_NAME,char(10),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,DESCRIPTION,char(45),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,NET,decimal(18,2),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,CLIENT_GROUP,char(1),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,BANK_MASTER,char(5),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,BANK_SUB,char(5),No,,,None,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,POSTING_NET,,N/A,POSTED,date,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,PROCESSING_STATUS,char(1),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,EIN,char(5),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,APAR_ESTABLISH,char(2),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,APAR_PAN,char(11),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,CHANGED,date,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,CHANGED_BY,char(12),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,POST_AFTER,date,Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,DOC_DESCRIPTION1,char(45),Yes,,,None,,,,,,,,,,,,,NULL allowed,
dbo,POSTING_NET,,N/A,DOC_DESCRIPTION2,char(45),Yes,,,None,,,,,,,,,,,,,NULL allowed,
