Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,TaskDecision,,N/A,DecisionId,uniqueidentifier,No,,Primary key column,PK,PK_TaskDecision,DecisionId,PRIMARY KEY CLUSTERED ([DecisionId] ASC),,,,,,,PK_TaskDecision,DecisionId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,TaskDecision,,N/A,TaskId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskDecision,,N/A,DecisionType,nvarchar(50),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field with 50 character limit
dbo,TaskDecision,,N/A,DecisionReason,nvarchar(255),Yes,,,None,,,,,,,,,,,,,,,Optional field with 255 character limit
dbo,TaskDecision,,N/A,DecisionComments,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Optional field with unlimited length
dbo,TaskDecision,,N/A,DecisionTime,datetime2(7),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required timestamp field
dbo,TaskDecision,,N/A,DecisionBy,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskDecision,,N/A,DecisionOnBehalfOf,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,,,Optional field
dbo,TaskDecision,,N/A,IsFinalDecision,bit,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required boolean field
dbo,TaskDecision,,N/A,DataVersionAtDecision,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskDecision,,N/A,DecisionMetadata,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Optional field with unlimited length
dbo,TaskDecision,,N/A,CreatedBy,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskDecision,,N/A,CreatedDate,datetime2(7),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required timestamp field
dbo,TaskDecision,,N/A,StatusId,int,Yes,,,None,,,,,,,,,,,,,,,Optional integer field
dbo,TaskGroup,,N/A,GroupId,uniqueidentifier,No,,Primary key column,PK,PK_TaskGroup,GroupId,PRIMARY KEY CLUSTERED ([GroupId] ASC),,,,,,,PK_TaskGroup,GroupId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,TaskGroup,,N/A,InstanceId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskGroup,,N/A,StepId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskGroup,,N/A,ApproverGroupId,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,,,Optional field
dbo,TaskGroup,,N/A,GroupType,nvarchar(50),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field with 50 character limit
dbo,TaskGroup,,N/A,ApprovalStrategy,nvarchar(50),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field with 50 character limit
dbo,TaskGroup,,N/A,MinimumApprovals,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskGroup,,N/A,Status,nvarchar(50),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field with 50 character limit
dbo,TaskGroup,,N/A,CreatedAt,datetime2(7),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required timestamp field
dbo,TaskGroup,,N/A,CompletedAt,datetime2(7),Yes,,,None,,,,,,,,,,,,,,,Optional timestamp field
dbo,TaskGroup,,N/A,TimeoutAt,datetime2(7),Yes,,,None,,,,,,,,,,,,,,,Optional timestamp field
dbo,TaskGroup,,N/A,TotalTasks,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskGroup,,N/A,CompletedTasks,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskGroup,,N/A,ApprovedTasks,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskGroup,,N/A,RejectedTasks,int,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required integer field
dbo,TaskGroup,,N/A,CreatedBy,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required field
dbo,TaskGroup,,N/A,CreatedDate,datetime2(7),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required timestamp field
dbo,TaskGroup,,N/A,ModifiedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,,,Optional field
dbo,TaskGroup,,N/A,ModifiedDate,datetime2(7),Yes,,,None,,,,,,,,,,,,,,,Optional timestamp field
dbo,TaskGroup,,N/A,StatusId,int,Yes,,,None,,,,,,,,,,,,,,,Optional integer field
dbo,TaskGroup,,N/A,StepStatusId,int,Yes,,,None,,,,,,,,,,,,,,,Optional integer field
dbo,TaskList,,N/A,TaskId,uniqueidentifier,No,,Primary key column,PK,,TaskId,PRIMARY KEY CLUSTERED ([TaskId] ASC),,,,,,,TaskId,TaskId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,TaskList,,N/A,CustomerId,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,,,Optional field
dbo,TaskList,,N/A,EntityId,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,,,Optional field
dbo,TaskList,,N/A,TaskTypeId,int,Yes,,,None,,,,,,,,,,,,,,,Optional integer field
dbo,TaskList,,N/A,TaskPriorityId,int,Yes,,,None,,,,,,,,,,,,,,,Optional integer field
