Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
bai2,BAI2AccountBalances,,N/A,BAI2AccountBalanceId,uniqueidentifier,No,,Primary key column,PK,PK_BAI2AccountBalances,BAI2AccountBalanceId,PRIMARY KEY CLUSTERED ([BAI2AccountBalanceId] ASC),,,,,,,PK_BAI2AccountBalances,BAI2AccountBalanceId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
bai2,BAI2AccountBalances,,N/A,BAI2AccountId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Foreign key reference expected
bai2,BAI2AccountBalances,,N/A,TypeCode,nvarchar(10),Yes,,,None,,,,,,,,,,,,,,,Nullable field for type classification
bai2,BAI2AccountBalances,,N/A,Amount,bigint,Yes,,,None,,,,,,,,,,,,,,,Nullable numeric field
bai2,BAI2AccountBalances,,N/A,ItemCount,int,Yes,,,None,,,,,,,,,,,,,,,Nullable integer field
bai2,BAI2AccountBalances,,N/A,Order,int,Yes,,,None,,,,,,,,,,,,,,,Nullable ordering field
bai2,BAI2AccountFundTypes,,N/A,BAI2AccountFundsTypeId,uniqueidentifier,No,,Primary key column,PK,PK_BAI2AccountFundTypes,BAI2AccountFundsTypeId,PRIMARY KEY CLUSTERED ([BAI2AccountFundsTypeId] ASC),,,,,,,PK_BAI2AccountFundTypes,BAI2AccountFundsTypeId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
bai2,BAI2AccountFundTypes,,N/A,BAI2AccountBalanceId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Foreign key reference expected
bai2,BAI2AccountFundTypes,,N/A,FundsType,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2AccountFundTypes,,N/A,ImmediateAmount,decimal(18,2),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Decimal precision 18 scale 2
bai2,BAI2AccountFundTypes,,N/A,OneDayAmount,decimal(18,2),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Decimal precision 18 scale 2
bai2,BAI2AccountFundTypes,,N/A,TwoOrMoreDaysAmount,decimal(18,2),No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Decimal precision 18 scale 2
bai2,BAI2AccountFundTypes,,N/A,ValueDate,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2AccountFundTypes,,N/A,ValueTime,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2AccountFundTypes,,N/A,NumberOfDistributions,bigint,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Required numeric field
bai2,BAI2AccountFundTypes,,N/A,Field1,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2AccountFundTypes,,N/A,Field2,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2AccountFundTypes,,N/A,Field3,nvarchar(max),Yes,,,None,,,,,,,,,,,,,,,Nullable unlimited text field
bai2,BAI2Accounts,,N/A,BAI2AccountId,uniqueidentifier,No,,Primary key column,PK,PK_BAI2Accounts,BAI2AccountId,PRIMARY KEY CLUSTERED ([BAI2AccountId] ASC),,,,,,,PK_BAI2Accounts,BAI2AccountId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
bai2,BAI2Accounts,,N/A,BAI2GroupId,uniqueidentifier,No,,,NOT NULL,,,NOT NULL,,,,,,,,,,,NOT NULL constraint enforced,Foreign key reference expected
bai2,BAI2Accounts,,N/A,CustomerAccountNumber,varchar(2000),Yes,,,None,,,,,,,,,,,,,,,Nullable variable length string
