Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
bai2,BAI2AccountBalances,,,,,,,,,,,,,,,,,,,,,,
bai2,BAI2AccountBalances,,,BAI2AccountBalanceId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Primary key column
bai2,BAI2AccountBalances,,,BAI2AccountId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Foreign key reference
bai2,BAI2AccountBalances,,,TypeCode,nvarchar(10),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountBalances,,,Amount,bigint,Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountBalances,,,ItemCount,int,Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountBalances,,,Order,int,Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountBalances,,,BAI2AccountBalanceId,uniqueidentifier,No,,,PK,PK_BAI2AccountBalances,BAI2AccountBalanceId,PRIMARY KEY CLUSTERED,,,,,,,,,BTREE,Yes,Primary key constraint,Clustered primary key with specific options
bai2,BAI2AccountFundTypes,,,,,,,,,,,,,,,,,,,,,,
bai2,BAI2AccountFundTypes,,,BAI2AccountFundsTypeId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Primary key column
bai2,BAI2AccountFundTypes,,,BAI2AccountBalanceId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Foreign key reference
bai2,BAI2AccountFundTypes,,,FundsType,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,ImmediateAmount,decimal(18,2),No,,,,,,,,,,,,,,,,NOT NULL constraint,
bai2,BAI2AccountFundTypes,,,OneDayAmount,decimal(18,2),No,,,,,,,,,,,,,,,,NOT NULL constraint,
bai2,BAI2AccountFundTypes,,,TwoOrMoreDaysAmount,decimal(18,2),No,,,,,,,,,,,,,,,,NOT NULL constraint,
bai2,BAI2AccountFundTypes,,,ValueDate,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,ValueTime,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,NumberOfDistributions,bigint,No,,,,,,,,,,,,,,,,NOT NULL constraint,
bai2,BAI2AccountFundTypes,,,Field1,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,Field2,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,Field3,nvarchar(max),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2AccountFundTypes,,,BAI2AccountFundsTypeId,uniqueidentifier,No,,,PK,PK_BAI2AccountFundTypes,BAI2AccountFundsTypeId,PRIMARY KEY CLUSTERED,,,,,,,,,BTREE,Yes,Primary key constraint,Clustered primary key
bai2,BAI2Accounts,,,,,,,,,,,,,,,,,,,,,,
bai2,BAI2Accounts,,,BAI2AccountId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Primary key column
bai2,BAI2Accounts,,,BAI2GroupId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,Foreign key reference
bai2,BAI2Accounts,,,CustomerAccountNumber,varchar(2000),Yes,,,,,,,,,,,,,,,,NULL allowed,
bai2,BAI2Accounts,,,CurrencyCode,char(3),Yes,,,,,,,,,,,,,,,,NULL allowed,
