Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,ApprovalLimits,,,,,,,,,,,,,,,,,,IX_ApprovalLimits_Effective,"EffectiveFrom ASC, EffectiveTo ASC, IsActive ASC",NONCLUSTERED,No,"Composite index for date range and status filtering","PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,ApprovalLimits,,,EffectiveFrom,,,,,,,,,,,,,,,,,,,Date range filtering,Column referenced in IX_ApprovalLimits_Effective index
dbo,ApprovalLimits,,,EffectiveTo,,,,,,,,,,,,,,,,,,,Date range filtering,Column referenced in IX_ApprovalLimits_Effective index
dbo,ApprovalLimits,,,IsActive,,,,,,,,,,,,,,,,,,,Status filtering,Column referenced in IX_ApprovalLimits_Effective index
dbo,ApprovalLimits,,,,,,,,,,,,,,,,,,IX_ApprovalLimits_Role,RoleId ASC,NONCLUSTERED,No,"Role-based filtering with NULL condition","WHERE ([RoleId] IS NOT NULL), PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,ApprovalLimits,,,RoleId,,,,,,,,,,,,,,,,,,,Role identification with NULL filtering,Column referenced in IX_ApprovalLimits_Role index with WHERE condition
dbo,ApprovalLimits,,,,,,,,,,,,,,,,,,IX_ApprovalLimits_User,UserId ASC,NONCLUSTERED,No,"User-based filtering with NULL condition","WHERE ([UserId] IS NOT NULL), PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,ApprovalLimits,,,UserId,,,,,,,,,,,,,,,,,,,User identification with NULL filtering,Column referenced in IX_ApprovalLimits_User index with WHERE condition
dbo,ApprovalLimits,,,,,,,,,,,,,,,,,,IX_ApprovalLimits_WorkflowDefinition,WorkflowDefinitionId ASC,NONCLUSTERED,No,Workflow definition lookup,"PAD_INDEX = OFF, STATISTICS_NORECOMPUTE = OFF, SORT_IN_TEMPDB = OFF, DROP_EXISTING = OFF, ONLINE = OFF, ALLOW_ROW_LOCKS = ON, ALLOW_PAGE_LOCKS = ON, OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,ApprovalLimits,,,WorkflowDefinitionId,,,,,,,,,,,,,,,,,,,Workflow definition reference,Column referenced in IX_ApprovalLimits_WorkflowDefinition index
