Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,WorkflowAuditLog,,,InstanceId,,,,,,,,,,,,,,,IX_WorkflowAuditLog_Instance,"InstanceId ASC, Timestamp ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowAuditLog,,,Timestamp,,,,,,,,,,,,,,,IX_WorkflowAuditLog_Instance,"InstanceId ASC, Timestamp ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowAuditLog,,,UserId,,,,,,,,,,,,,,,IX_WorkflowAuditLog_User,"UserId ASC, Timestamp ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowAuditLog,,,Timestamp,,,,,,,,,,,,,,,IX_WorkflowAuditLog_User,"UserId ASC, Timestamp ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,CustomerId,,,,,,,,,,,,,,,IX_WorkflowDefinition_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,EntityId,,,,,,,,,,,,,,,IX_WorkflowDefinition_Customer_Entity,"CustomerId ASC, EntityId ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,ModuleId,,,,,,,,,,,,,,,IX_WorkflowDefinition_Module,ModuleId ASC,NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,IsTemplate,,,,,,,,,,,,,,,IX_WorkflowDefinition_Template,"IsTemplate ASC, IsActive ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,IsActive,,,,,,,,,,,,,,,IX_WorkflowDefinition_Template,"IsTemplate ASC, IsActive ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowDefinition,,,WorkflowTypeId,,,,,,,,,,,,,,,IX_WorkflowDefinition_Type,WorkflowTypeId ASC,NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowInstance,,,CustomerId,,,,,,,,,,,,,,,IX_WorkflowInstance_Customer,"CustomerId ASC, Status ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowInstance,,,Status,,,,,,,,,,,,,,,IX_WorkflowInstance_Customer,"CustomerId ASC, Status ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowInstance,,,DueDate,,,,,,,,,,,,,,,IX_WorkflowInstance_DueDate,DueDate ASC,NONCLUSTERED,No,,,"Filtered index with WHERE ([DueDate] IS NOT NULL), PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,WorkflowInstance,,,WorkflowSourceEntityId,,,,,,,,,,,,,,,IX_WorkflowInstance_SourceEntity,WorkflowSourceEntityId ASC,NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowInstance,,,Status,,,,,,,,,,,,,,,IX_WorkflowInstance_Status,"Status ASC, Priority ASC, InitiatedAt ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowInstance,,,Priority,,,,,,,,,,,,,,,IX_WorkflowInstance_Status,"Status ASC, Priority ASC, InitiatedAt ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowInstance,,,InitiatedAt,,,,,,,,,,,,,,,IX_WorkflowInstance_Status,"Status ASC, Priority ASC, InitiatedAt ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowMetrics,,,ApprovalRuleId,,,,,,,,,,,,,,,IX_WorkflowMetrics_ApprovalRule,ApprovalRuleId ASC,NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
dbo,WorkflowMetrics,,,MetricDate,,,,,,,,,,,,,,,IX_WorkflowMetrics_Date,"MetricDate ASC, MeasurementPeriod ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowMetrics,,,MeasurementPeriod,,,,,,,,,,,,,,,IX_WorkflowMetrics_Date,"MetricDate ASC, MeasurementPeriod ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowMetrics,,,InstanceId,,,,,,,,,,,,,,,IX_WorkflowMetrics_Instance,InstanceId ASC,NONCLUSTERED,No,,,"Filtered index with WHERE ([InstanceId] IS NOT NULL), PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,WorkflowMetrics,,,MetricType,,,,,,,,,,,,,,,IX_WorkflowMetrics_Type,"MetricType ASC, MetricName ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowMetrics,,,MetricName,,,,,,,,,,,,,,,IX_WorkflowMetrics_Type,"MetricType ASC, MetricName ASC",NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF and ANSI_PADDING ON
dbo,WorkflowMetrics,,,ThresholdViolation,,,,,,,,,,,,,,,IX_WorkflowMetrics_Violations,"ThresholdViolation ASC, MetricDate ASC",NONCLUSTERED,No,,,"Filtered index with WHERE ([ThresholdViolation]=(1)), PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,WorkflowMetrics,,,MetricDate,,,,,,,,,,,,,,,IX_WorkflowMetrics_Violations,"ThresholdViolation ASC, MetricDate ASC",NONCLUSTERED,No,,,"Filtered index with WHERE ([ThresholdViolation]=(1)), PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF"
dbo,WorkflowNotification,,,InstanceId,,,,,,,,,,,,,,,IX_WorkflowNotification_Instance,InstanceId ASC,NONCLUSTERED,No,,,Index with PAD_INDEX = OFF and OPTIMIZE_FOR_SEQUENTIAL_KEY = OFF
