Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,WorkflowSourceEntity,,N/A,SourceEntityId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,WorkflowSourceTypeId,int,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,SourceData,nvarchar(max),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,SourceMetadata,nvarchar(max),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceEntity,,N/A,BusinessKey,nvarchar(100),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceEntity,,N/A,ExternalId,nvarchar(100),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceEntity,,N/A,RequestedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,Priority,int,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,Status,nvarchar(50),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceEntity,,N/A,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceEntity,,N/A,ModuleFunctionId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceEntity,,N/A,WorkflowSourceEntityId,uniqueidentifier,No,,,PK,PK_WorkflowSourceEntity,WorkflowSourceEntityId,PRIMARY KEY CLUSTERED ([WorkflowSourceEntityId] ASC),,,,,,,PK_WorkflowSourceEntity,WorkflowSourceEntityId,CLUSTERED,Yes,Primary Key constraint,
dbo,WorkflowSourceEntity,,N/A,StatusId,int,Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceType,,N/A,WorkflowSourceTypeId,int,No,,,IDENTITY,,,IDENTITY(1,1),,,,,,,,,NOT NULL constraint; Identity column,
dbo,WorkflowSourceType,,N/A,SourceTypeName,nvarchar(100),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceType,,N/A,SourceTypeCode,nvarchar(50),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceType,,N/A,AmountFieldPath,nvarchar(200),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceType,,N/A,SourceSchema,nvarchar(max),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceType,,N/A,IsActive,bit,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceType,,N/A,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceType,,N/A,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowSourceType,,N/A,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceType,,N/A,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowSourceType,,N/A,WorkflowSourceTypeId,int,No,,,PK,PK_WorkflowSourceType,WorkflowSourceTypeId,PRIMARY KEY CLUSTERED ([WorkflowSourceTypeId] ASC),,,,,,,PK_WorkflowSourceType,WorkflowSourceTypeId,CLUSTERED,Yes,Primary Key constraint,
dbo,WorkflowSourceType,,N/A,SourceTypeCode,nvarchar(50),No,,,UK,UQ_WorkflowSourceType_Code,SourceTypeCode,UNIQUE NONCLUSTERED ([SourceTypeCode] ASC),,,,,,,UQ_WorkflowSourceType_Code,SourceTypeCode,NONCLUSTERED,Yes,Unique constraint,
dbo,WorkflowState,,N/A,StateId,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,StateName,nvarchar(50),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,StateCode,nvarchar(20),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,StateType,nvarchar(20),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,IsSystemState,bit,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,AllowEdit,bit,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,DisplayOrder,int,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,StateColor,nvarchar(20),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowState,,N/A,IsActive,bit,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,WorkflowState,,N/A,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowState,,N/A,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,Nullable field,
dbo,WorkflowState,,N/A,StateId,uniqueidentifier,No,,,PK,PK_WorkflowState,StateId,PRIMARY KEY CLUSTERED ([StateId] ASC),,,,,,,PK_WorkflowState,StateId,CLUSTERED,Yes,Primary Key constraint,
dbo,WorkflowState,,N/A,StateCode,nvarchar(20),No,,,UK,UQ_WorkflowState_Code,StateCode,UNIQUE NONCLUSTERED ([StateCode] ASC),,,,,,,UQ_WorkflowState_Code,StateCode,NONCLUSTERED,Yes,Unique constraint,
