Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,FeatureType,,N/A,FeatureTypeId,uniqueidentifier,No,,,PK,,FeatureTypeId,PRIMARY KEY CLUSTERED ([FeatureTypeId] ASC),,,,,,,PK_FeatureType_FeatureTypeId,FeatureTypeId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,FeatureType,,N/A,TypeCode,nvarchar(50),No,,,UK,,TypeCode,UNIQUE NONCLUSTERED ([TypeCode] ASC),,,,,,,UK_FeatureType_TypeCode,TypeCode ASC,NONCLUSTERED,Yes,NOT NULL and UNIQUE constraints enforced,Unique constraint on TypeCode
dbo,FeatureType,,N/A,TypeValue,nvarchar(50),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FeatureType,,N/A,IsActive,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FeatureType,,N/A,CreatedBy,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FeatureType,,N/A,CreatedDate,datetime2(7),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FeatureType,,N/A,UpdatedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FeatureType,,N/A,UpdatedDate,datetime2(7),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,ChangeId,uniqueidentifier,No,,,PK,PK_FieldChangeHistory,ChangeId,PRIMARY KEY CLUSTERED ([ChangeId] ASC),,,,,,,PK_FieldChangeHistory,ChangeId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,FieldChangeHistory,,N/A,InstanceId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,FieldName,nvarchar(100),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,FieldPath,nvarchar(500),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,OldValue,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,NewValue,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,ChangeType,nvarchar(50),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,ChangedAt,datetime2(7),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,ChangedBy,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,ChangeReason,nvarchar(255),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,ChangeSource,nvarchar(100),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,ResetApproval,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,AffectedTaskIds,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldChangeHistory,,N/A,IsSignificantChange,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,CreatedBy,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldChangeHistory,,N/A,CreatedDate,datetime2(7),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,PermissionId,uniqueidentifier,No,,,PK,PK_FieldPermission,PermissionId,PRIMARY KEY CLUSTERED ([PermissionId] ASC),,,,,,,PK_FieldPermission,PermissionId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,FieldPermission,,N/A,WorkflowDefinitionId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,ParameterId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,RoleId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,StateFilter,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldPermission,,N/A,IsEditable,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,ResetApprovalOnEdit,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,RequiresJustification,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,NotifyOnChange,bit,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,NotificationTargets,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldPermission,,N/A,PermissionLevel,nvarchar(50),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,ConditionalRules,nvarchar(max),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldPermission,,N/A,CreatedBy,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,CreatedDate,datetime2(7),No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FieldPermission,,N/A,ModifiedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FieldPermission,,N/A,ModifiedDate,datetime2(7),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FIEntitlement,,N/A,FIEntitlementId,uniqueidentifier,No,,,PK,PK__FIEntitlement,FIEntitlementId,PRIMARY KEY CLUSTERED ([FIEntitlementId] ASC),,,,,,,PK__FIEntitlement,FIEntitlementId ASC,CLUSTERED,Yes,NOT NULL constraint enforced,Primary key with clustered index
dbo,FIEntitlement,,N/A,FinancialInstitutionId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FIEntitlement,,N/A,BankingEntitlementsId,uniqueidentifier,No,,,NOT NULL,,,,,,,,,,,,,NOT NULL constraint enforced,
dbo,FIEntitlement,,N/A,Configuration,varchar(500),Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FIEntitlement,,N/A,IsActive,bit,Yes,,,None,,,,,,,,,,,,,Nullable field,
dbo,FIEntitlement,,N/A,CreatedBy,uniqueidentifier,Yes,,,None,,,,,,,,,,,,,Nullable field,
